"","Type","Freq","Fees paid in Euro","Mean Fee paid in Euro"
"1","",55,117261.283362,2132.02333385455
"2","hybrid",1894,4648878.463454,2454.52928376663
"3","oa",607,911301.935956,1501.32114655025
