"","Type","Freq","Fees paid in Euro","Mean Fee"
"1","",178,345215.701035,1939.41405075843
"2","Book",1,15714.9,15714.9
"3","Conference paper",4,4257.46968,1064.36742
"4","Journal Article/Review",62,156555.514395,2525.08894185484
"5","Journal Article/Review (Full OA journal)",1168,2211958.179615,1893.79981131421
"6","Journal Article/Review (Hybrid journal)",2944,6977753.23448865,2370.16074541055
